date,start,end,title,domain,activity,campus,groups,venue,staff
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,N,GP325,Roving Tutor
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,O,GP321,Roving Tutor
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,M,GP327,Vicki Howell
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,N,GP328,Juan Morales Franco
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,O,GP326,Khanrin Vashum
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,K,GP325,Roving Tutor
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,L,GP324,Roving Tutor
2025-08-05,2025-08-05T10:30,2025-08-05T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,P,GP321,Roving Tutor
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,CCS,A,GO93.08.55,Tegan Stettaford
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,CCS,B,GO93.08.51,Heather Allard
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,Callaghan,E,GP326,Erin Gardiner
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,Callaghan,G,GP328,Tooba Azami
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,Callaghan,I,GP325,Travis Swadling
2025-08-06,2025-08-06T08:30,2025-08-06T10:30,Close Working Problem 46,PBL,Tutorial,Callaghan,K,GP327,Richard Thorpe
